State/ territory,SA3,SA3 Name,Sex,5 year period,Deaths,SA3 ASR,State ASR,Australia ASR 
Western Australia,50401,Bayswater until Bassendean,Persons,2014until2018,64,14.9,15.1,12.6
Western Australia,50402,Mundaring,Persons,2014until2018,39,18.3,15.1,12.6
Western Australia,50403,Swan,Persons,2014until2018,93,14.3,15.1,12.6
Western Australia,50501,Joondalup,Persons,2014until2018,101,13,15.1,12.6
Western Australia,50502,Stirling,Persons,2014until2018,136,12.9,15.1,12.6
Western Australia,50503,Wanneroo,Persons,2014until2018,100,10.8,15.1,12.6
Western Australia,50601,Armadale,Persons,2014until2018,56,13.7,15.1,12.6
Western Australia,50602,Belmont until Victoria Park,Persons,2014until2018,50,12.9,15.1,12.6
Western Australia,50603,Canning,Persons,2014until2018,52,10.8,15.1,12.6
Western Australia,50604,Gosnells,Persons,2014until2018,85,14.1,15.1,12.6
Western Australia,50605,Kalamunda,Persons,2014until2018,48,16.4,15.1,12.6
Western Australia,50606,Serpentine until Jarrahdale,Persons,2014until2018,15,0,15.1,12.6
Western Australia,50607,South Perth,Persons,2014until2018,24,10.3,15.1,12.6
Western Australia,50701,Cockburn,Persons,2014until2018,61,11.5,15.1,12.6
Western Australia,50702,Fremantle,Persons,2014until2018,33,16.7,15.1,12.6
Western Australia,50703,Kwinana,Persons,2014until2018,33,17.2,15.1,12.6
Western Australia,50704,Melville,Persons,2014until2018,62,11.9,15.1,12.6
Western Australia,50705,Rockingham,Persons,2014until2018,117,18.4,15.1,12.6
Western Australia,50901,Albany,Persons,2014until2018,44,14.5,15.1,12.6
Western Australia,50902,Wheat Belt until North,Persons,2014until2018,51,20.2,15.1,12.6
Western Australia,50903,Wheat Belt until South,Persons,2014until2018,16,0,15.1,12.6
Western Australia,51001,Kimberley,Persons,2014until2018,74,42,15.1,12.6
Western Australia,51002,East Pilbara,Persons,2014until2018,18,0,15.1,12.6
Western Australia,51003,West Pilbara,Persons,2014until2018,18,0,15.1,12.6
